year,month,0,1,2,3,4,5,6,7,8,9
1983,1,0,3,1,18,0,0,0,0,0,9
1983,2,0,5,17,6,0,0,0,0,0,0
1983,3,0,9,1,11,0,0,7,0,1,2
1983,4,3,1,0,1,0,2,18,0,0,5
1983,5,17,0,0,0,0,10,4,0,0,0
1983,6,6,0,0,0,10,0,0,14,0,0
1983,7,0,0,0,0,0,0,0,31,0,0
1983,8,0,0,0,0,6,0,0,25,0,0
1983,9,2,0,0,0,25,0,0,3,0,0
1983,10,1,0,0,0,3,21,6,0,0,0
1983,11,1,0,10,5,0,9,0,0,4,1
1983,12,0,5,2,10,0,0,0,0,1,13
1984,1,0,3,0,11,0,0,0,0,2,15
1984,2,0,15,3,5,0,0,1,0,1,4
1984,3,0,1,12,0,0,0,3,0,15,0
1984,4,6,6,0,0,0,4,14,0,0,0
1984,5,23,0,0,0,0,2,6,0,0,0
1984,6,8,0,0,0,8,0,0,14,0,0
1984,7,0,0,0,0,0,0,0,31,0,0
1984,8,0,0,0,0,7,0,0,24,0,0
1984,9,5,0,0,0,20,1,0,4,0,0
1984,10,2,0,0,0,5,23,0,0,0,1
1984,11,0,7,0,0,0,5,8,0,0,10
1984,12,0,20,1,4,0,2,0,0,0,4
1985,1,0,1,9,3,0,0,0,0,18,0
1985,2,0,10,3,3,0,0,0,0,12,0
1985,3,0,12,2,2,0,0,0,0,10,5
1985,4,0,2,0,0,0,0,20,0,0,8
1985,5,18,0,0,0,0,5,8,0,0,0
1985,6,6,0,0,0,17,0,0,7,0,0
1985,7,0,0,0,0,5,0,0,26,0,0
1985,8,0,0,0,0,5,0,0,26,0,0
1985,9,6,0,0,0,24,0,0,0,0,0
1985,10,12,0,1,0,2,14,2,0,0,0
1985,11,0,6,2,0,0,0,11,0,6,5
1985,12,0,4,0,7,0,0,1,0,10,9
1986,1,0,2,1,14,0,0,1,0,9,4
1986,2,0,6,10,0,0,0,0,0,12,0
1986,3,0,11,0,3,0,0,1,0,2,14
1986,4,0,0,1,0,0,5,19,0,4,1
1986,5,3,0,0,0,6,22,0,0,0,0
1986,6,4,0,0,0,11,0,0,15,0,0
1986,7,0,0,0,0,0,0,0,31,0,0
1986,8,0,0,0,0,7,0,0,24,0,0
1986,9,4,0,0,0,26,0,0,0,0,0
1986,10,5,0,0,0,1,23,2,0,0,0
1986,11,0,3,0,4,0,2,3,0,0,18
1986,12,0,0,3,13,0,0,0,0,1,14
1987,1,0,5,10,5,0,0,0,0,11,0
1987,2,0,3,3,6,0,0,1,0,12,3
1987,3,0,7,6,6,0,0,1,0,5,6
1987,4,0,10,0,0,0,9,11,0,0,0
1987,5,19,0,0,0,1,2,9,0,0,0
1987,6,0,0,0,0,21,0,0,9,0,0
1987,7,0,0,0,0,0,0,0,31,0,0
1987,8,0,0,0,0,3,0,0,28,0,0
1987,9,2,0,0,0,28,0,0,0,0,0
1987,10,7,0,0,0,0,24,0,0,0,0
1987,11,3,4,5,1,0,6,7,0,0,4
1987,12,0,8,8,1,0,0,1,0,7,6
1988,1,0,3,0,2,0,0,0,0,4,22
1988,2,0,3,11,1,0,0,0,0,0,14
1988,3,0,4,2,7,0,1,5,0,7,5
1988,4,1,1,1,1,0,2,20,0,3,1
1988,5,22,0,0,0,1,5,3,0,0,0
1988,6,4,0,0,0,6,0,0,20,0,0
1988,7,0,0,0,0,0,0,0,31,0,0
1988,8,0,0,0,0,3,0,0,28,0,0
1988,9,0,0,0,0,19,0,0,11,0,0
1988,10,9,0,2,0,4,12,4,0,0,0
