year,month,0,1,2,3,4,5,6
1986,9,30,0,0,0,0,0,0
1986,10,8,4,0,0,0,19,0
1986,11,0,19,4,0,0,3,4
1986,12,0,21,0,0,7,0,3
1987,1,0,0,1,0,21,0,9
1987,2,0,12,0,0,14,0,2
1987,3,0,10,0,0,9,0,12
1987,4,0,1,13,0,0,9,7
1987,5,18,0,9,0,0,4,0
1987,6,19,0,0,11,0,0,0
1987,7,0,0,0,31,0,0,0
1987,8,2,0,0,29,0,0,0
1987,9,26,0,0,4,0,0,0
1987,10,4,0,0,0,0,27,0
1987,11,2,4,14,0,0,7,3
1987,12,0,8,2,0,10,0,11
1988,1,0,28,0,0,0,0,3
1988,2,0,14,1,0,11,0,3
1988,3,0,6,5,0,14,1,5
1988,4,0,2,23,0,2,3,0
1988,5,23,0,0,0,0,8,0
1988,6,9,0,0,21,0,0,0
1988,7,0,0,0,31,0,0,0
1988,8,0,0,0,31,0,0,0
1988,9,16,0,0,14,0,0,0
1988,10,13,0,7,0,0,11,0
1988,11,0,0,8,0,13,2,7
1988,12,0,9,1,0,13,0,8
1989,1,0,17,0,0,2,0,12
1989,2,0,23,0,0,0,0,5
1989,3,0,28,0,0,0,0,3
1989,4,0,0,9,0,0,19,2
1989,5,17,0,5,0,0,9,0
1989,6,13,0,0,17,0,0,0
1989,7,0,0,0,31,0,0,0
1989,8,1,0,0,30,0,0,0
1989,9,23,0,0,7,0,0,0
1989,10,11,0,4,0,0,16,0
1989,11,0,0,7,0,6,11,6
1989,12,0,13,1,0,10,0,7
1990,1,0,22,0,0,0,0,9
1990,2,0,27,0,0,0,0,1
1990,3,0,17,5,0,2,2,5
1990,4,0,10,10,0,1,8,1
1990,5,27,0,0,0,0,4,0
1990,6,15,0,0,15,0,0,0
1990,7,0,0,0,31,0,0,0
1990,8,0,0,0,31,0,0,0
1990,9,22,0,0,8,0,0,0
1990,10,15,0,0,0,0,16,0
1990,11,0,3,17,0,2,2,6
1990,12,0,10,9,0,5,0,7
1991,1,0,12,0,0,1,0,18
1991,2,0,6,0,0,10,0,12
1991,3,0,4,9,0,0,1,17
1991,4,1,8,16,0,0,4,1
1991,5,21,0,7,0,0,3,0
1991,6,16,0,0,14,0,0,0
1991,7,0,0,0,31,0,0,0
1991,8,0,0,0,31,0,0,0
1991,9,21,0,0,9,0,0,0
1991,10,14,0,5,0,0,11,1
1991,11,0,7,13,0,0,9,1
1991,12,0,8,0,0,4,0,19
1992,1,0,9,1,0,4,0,17
1992,2,0,13,0,0,7,0,9
1992,3,0,6,4,0,7,0,14
1992,4,0,4,14,0,2,5,5
1992,5,15,2,1,2,0,11,0
1992,6,19,0,0,11,0,0,0
1992,7,3,0,0,28,0,0,0
1992,8,1,0,0,30,0,0,0
1992,9,26,0,0,4,0,0,0
1992,10,10,0,21,0,0,0,0
1992,11,0,20,6,0,0,3,1
1992,12,0,15,0,0,1,0,15
1993,1,0,19,0,0,5,0,7
1993,2,0,2,2,0,9,0,15
1993,3,0,9,0,0,7,0,15
1993,4,1,0,13,0,0,8,8
1993,5,15,0,2,0,0,14,0
1993,6,23,0,0,7,0,0,0
1993,7,0,0,0,31,0,0,0
1993,8,0,0,0,31,0,0,0
1993,9,28,0,0,2,0,0,0
1993,10,17,0,10,0,0,4,0
1993,11,0,3,1,0,0,10,16
1993,12,0,25,0,0,5,0,1
1994,1,0,26,0,0,5,0,0
1994,2,0,6,0,0,6,0,16
1994,3,0,25,1,0,5,0,0
1994,4,0,9,12,0,0,9,0
1994,5,15,0,1,0,0,15,0
1994,6,24,0,0,4,0,2,0
1994,7,0,0,0,31,0,0,0
1994,8,0,0,0,31,0,0,0
1994,9,16,0,0,14,0,0,0
1994,10,13,0,7,0,0,11,0
1994,11,0,8,5,0,0,9,8
1994,12,0,21,0,0,3,0,7
1995,1,0,19,0,0,6,0,6
1995,2,0,23,0,0,5,0,0
1995,3,0,16,0,0,7,0,8
1995,4,0,3,19,0,1,2,5
1995,5,11,0,9,4,0,7,0
1995,6,5,0,0,25,0,0,0
1995,7,0,0,0,31,0,0,0
1995,8,0,0,0,31,0,0,0
1995,9,13,0,0,17,0,0,0
1995,10,5,0,3,0,0,23,0
1995,11,0,0,20,0,2,0,8
1995,12,0,2,1,0,12,0,16
1996,1,0,1,0,0,3,0,27
